launch_id	mission_id	mission_name	mission_type	mission_description	orbit_name	orbit_abbrev	program_name	lsp_name	lsp_type
96c31f2e-670c-46d5-8c5c-bc0e47dce16e	1451.0	Beacon	Test Target	Beacon 1 was a large inflatable satellite of micro-thin plastic covered with aluminium foil. It was designed to be large so that it was easily visible from Earth.	Low Earth Orbit	LEO		Army Ballistic Missile Agency	Government
64ecf17b-09e4-42ab-aa54-8d87b989e365	1452.0	Pioneer 2	Lunar Exploration	The third pioneer orbiter, pioneer 2 intended to enter lunar orbit but failed to make orbit when the third stage failed to ignite.	Lunar Orbit	LO		Army Ballistic Missile Agency	Government
3fabc98a-84bf-4b91-bec8-31f30eee9dc3	1453.0	Luna-1c	Lunar Exploration	Luna E-1 number 3 was a Soviet spacecraft intended to impact the moon but was lost in a launch failure.	Lunar Impactor	Lunar Impactor	Luna	Soviet Space Program	Government
e83eac3f-29eb-4fac-b826-247261bd170d	1454.0	Pioneer 3	Lunar Exploration	Pioneer 3 was a spin-stabilized spacecraft intended as a lunar probe but failed to perform a lunar flyby as planned. Its mission was revised to measure radiation in the outer Van Allen radiation belts.	Lunar flyby	Lunar flyby		National Aeronautics and Space Administration	Government
80c8e883-8456-45e7-9ed7-abb1a587c5d9	1455.0	SCORE	Communications	SCORE or Signal Communications by Orbiting RElay was the world first purpose built communications satellite. It provided a second test of a communications relay system after the first being provided by Pioneer 1.	Low Earth Orbit	LEO		US Army	Government
574ba4a9-76fb-4207-a587-dbc39fc1a6e4	1456.0	Luna-1	Lunar Exploration	Luna 1 was the first spacecraft to reach the vicinity of the Earth's Moon. Intended to be an impactor it was launched as part of the Soviet Luna programme. Due to an incorrectly timed upper stage burn during launch it missed the Moon.	Lunar Impactor	Lunar Impactor	Luna	Soviet Space Program	Government
597540d3-b6b1-44d8-b6e6-3b799dc6b1e4	1457.0	Vanguard II	Earth Science	Vanguard II is an Earth orbiting satellite and the first weather satellite. It was designed to measure cloud-cover distribution over the daylight portion of its orbit for a period of 19 days and to provide information on the density of the atmosphere.	Medium Earth Orbit	MEO		US Navy	Government
2e03da7f-8604-416c-9313-8c456d893a6f	1458.0	Discoverer 1	Government/Top Secret	Discoverer I was the first of a series of satellites part of the CORONA reconnaissance program. This satellite didn't take a camera or film system as it was intended as a test. There were issues communicating with the satellite during flight with only intermittent signals being read.	Polar Orbit	PO		United States Air Force	Government
5de0c176-20e0-4bb6-a576-2e093b79fd51	1459.0	Pioneer 4	Lunar Exploration	Pioneer 4 was a spin-stabilized spacecraft intended as a lunar probe and successfully performed a fly by of the moon at a height of 58983km. Unfortunately it didn't come close enough to trigger its photoelectric sensor.	Lunar flyby	Lunar flyby		National Aeronautics and Space Administration	Government
e10a11fb-e3b9-4def-b281-c5602653b2dc	1460.0	Discoverer 2	Government/Top Secret	Discoverer II successfully reached orbit and took photos of Earth. However, when the capsule with the data was ejected in order to re-enter the atmosphere there was a timer malfunction meaning it seperated too early and landed over the North Pole rather than the intended target of Hawaii. The capsule was never recovered.	Polar Orbit	PO		United States Air Force	Government
c3d28943-4905-47b6-89c7-13b8dce45eef	1461.0	Vanguard	Earth Science	The Vanguard satellite was a 13 inch spherical satellite which contained a precise magnetometer to map the Earth's magnetic field. The satellite was lost together with the Vanguard Balloon when the Vanguard launch vehicle second stage was damaged during staging.	Low Earth Orbit	LEO		US Navy	Government
c4ef4614-99bb-4da4-ab0c-180ec2faf6cc	1462.0	Discoverer 3	Government/Top Secret	The Discoverer 3 reconnaissance satellite failed to reach orbit due to a failure of the Agena A upper stage.	Polar Orbit	PO		United States Air Force	Government
c5b416c9-5e12-42b1-85db-e3f807906166	1463.0	Luna-2a	Lunar Exploration	Luna E-1 number 5 was a Soviet spacecraft intended to impact the moon but was lost in a launch failure.	Lunar Impactor	Lunar Impactor	Luna	Soviet Space Program	Government
d00485ff-f5c5-4e6b-9aa5-a2928c079f41	1464.0	Vanguard	Earth Science	Vanguard is a scientific satellite to measure the Earth's magnetic field, solar X-ray radiation and its effects on the Earth's atmosphere and the near-Earth micrometeoroid environment.	Low Earth Orbit	LEO		US Navy	Government
dbe9a4b7-8cf0-4c7f-a42f-a5f70d2702a6	1465.0	Discoverer 4	Government/Top Secret	Discoverer 4 was the fourth in a series of reconnaissance satellites, however, it failed to reach orbit when the Agena engine underperformed and failed to place the capsule into orbit.	Polar Orbit	PO		United States Air Force	Government
7e01bff4-1cb9-409e-838b-4433ded92b94	1466.0	NASA S-1	Earth Science	The S-1 satellite was a geoscience satellite equipped with a suite of scientific instruments to study the environment around the Earth. It was destroyed 5 seconds into launch when the launch vehicle exploded due to an issue with the launch vehicles power supply.	Elliptical Orbit	Elliptical		National Aeronautics and Space Administration	Government
7ab310ea-28d5-4c58-9bfd-ae9aefc40c20	1467.0	Explorer 6	Earth Science	Explorer 6 was an American satellite designed to study trapped radiation of various energies, galactic cosmic rays, geomagnetism, radio propagation and the flux of micrometeorites. It also tested a scanning device designed for photographing the Earth's cloud cover, and transmitted the first pictures of Earth from a satellite.	Elliptical Orbit	Elliptical		United States Air Force	Government
a87cf2ee-4169-4cdc-9fc4-8ff7ce8ebfea	1468.0	Discoverer 5	Government/Top Secret	Discoverer 5 was the fifth in a series of reconnaissance satellites, however, it failed to return its capsule when it was accidentally sent into a higher orbit.	Polar Orbit	PO		United States Air Force	Government
13e39d5c-50db-4ebd-8aaa-30318fcb49fe	1469.0	Beacon	Test Target	Beacon 2 was launched an a three stage Juno 2 rocket. The vehicle ran into trouble three minutes into flight and an array of failures caused the GNC system to fail causing the satellite to fall short of orbit.	Low Earth Orbit	LEO		National Aeronautics and Space Administration	Government
1e564ecb-b4cf-40f3-905a-8555abc47810	1470.0	Discoverer 6	Government/Top Secret	Discoverer 6 was the sixth in a series of reconnaissance satellites, however, it failed to return its capsule when the retrorocket failed to deorbit the capsule.	Polar Orbit	PO		United States Air Force	Government
fdb56feb-e46f-41ba-80c8-c84be17c1888	5817.0	LJ-1	Test Flight	Little Joe 1 (LJ-1) was a failed launch of a Little Joe by NASA, a solid fuel rocket that was designed for a Max Q abort and Launch Escape System test for Mercury capsule. The objective was to determine how well the escape rocket would function under the most severe dynamic loading conditions anticipated during a Mercury-Atlas launching.	Suborbital	Sub	Mercury	National Aeronautics and Space Administration	Government
0640dd85-11c7-4a10-9947-9467f33cbaf2	5818.0	Big Joe 1	Test Flight	Suborbital flight with the objective of testing the Mercury spacecraft ablative heat shield. The Atlas booster section failed to jettison, leading to a lower apogee. It was nonetheless sufficient to satisfy the Mercury spacecraft team.	Suborbital	Sub	Mercury	National Aeronautics and Space Administration	Government
af1b241a-f46e-4d11-a504-e03965d94c01	1471.0	Luna-2	Lunar Exploration	Luna 2 successfully impacted the Moon's surface making it the first spacecraft to reach the surface of the Moon and the first human-made object to make contact with another celestial body.	Lunar Impactor	Lunar Impactor	Luna	Soviet Space Program	Government
3587bc21-73f7-4668-b388-5f0840c6064f	1472.0	Transit 1A	Navigation	The Transit satellite system was the first satellite navigation system to be used operationally. The system was used to provide accurate location for the US Navy ships. Transit 1A failed to make orbit.	Low Earth Orbit	LEO		United States Air Force	Government
614d577a-ac7c-4659-8fed-4b6a734469cd	1473.0	Vanguard III	Earth Science	Vanguard 3 is a scientific satellite to measure the Earth's magnetic field, solar X-ray radiation and its effects on the Earth's atmosphere and the near-Earth micrometeoroid environment.	Medium Earth Orbit	MEO		US Navy	Government
3016d082-58d4-436e-aa6a-379865565edf	1474.0	Luna-3	Lunar Exploration	Luna 3 was a Soviet spacecraft and was the first ever mission to photograph the far side of the moon.	Lunar flyby	Lunar flyby	Luna	Soviet Space Program	Government
17e710c6-da47-43fb-b994-b02521787fd8	5819.0	LJ-6	Test Flight	The Little Joe 6 was a launch escape system test of the Mercury spacecraft, conducted as part of the U.S. Mercury program.	Suborbital	Sub	Mercury	National Aeronautics and Space Administration	Government
e501cff3-10ec-485e-9d3c-a48315195bed	1475.0	Explorer 7	Astrophysics	Explorer 7 was designed to measure solar x-ray and Lyman-alpha flux, trapped energetic particles, and heavy primary cosmic rays. Secondary objectives included collecting data on micrometeoroid penetration, molecular sputtering and studying the Earth-atmosphere heat balance.	Low Earth Orbit	LEO		National Aeronautics and Space Administration	Government
